purchase_id,customer_id,product_id,purchased_at,quantity
O0001,C001,P131,2025-12-26,1
O0002,C001,P106,2026-07-09,1
O0003,C002,P095,2025-08-07,2
O0004,C002,P058,2025-10-29,1
O0005,C002,P038,2026-01-19,2
O0006,C003,P196,2025-09-26,1
O0007,C003,P040,2025-10-24,1
O0008,C003,P058,2026-03-10,2
O0009,C003,P068,2026-05-30,1
O0010,C004,P179,2025-07-20,1
O0011,C004,P166,2025-07-20,1
O0012,C004,P184,2025-08-15,1
O0013,C004,P133,2025-08-28,1
O0014,C004,P045,2025-09-30,1
O0015,C004,P035,2026-01-02,1
O0016,C004,P090,2026-01-05,1
O0017,C004,P071,2026-02-18,1
O0018,C005,P032,2025-07-17,1
O0019,C005,P175,2025-09-21,1
O0020,C005,P139,2026-01-04,1
O0021,C005,P123,2026-07-02,1
O0022,C005,P141,2026-07-24,1
O0023,C006,P183,2025-07-10,1
O0024,C006,P048,2025-08-16,1
O0025,C006,P064,2025-09-28,2
O0026,C006,P144,2025-10-17,2
O0027,C006,P051,2025-11-02,1
O0028,C006,P197,2025-12-22,1
O0029,C006,P141,2026-01-04,1
O0030,C006,P061,2026-06-26,1
O0031,C007,P157,2025-09-16,1
O0032,C007,P057,2025-11-29,1
O0033,C007,P149,2026-05-29,1
O0034,C007,P140,2026-06-07,1
O0035,C008,P104,2025-11-06,3
O0036,C008,P145,2025-12-19,1
O0037,C008,P194,2026-03-26,1
O0038,C008,P012,2026-04-09,1
O0039,C009,P100,2026-01-31,1
O0040,C009,P170,2026-07-23,1
O0041,C010,P082,2025-08-15,1
O0042,C010,P100,2025-09-22,3
O0043,C010,P118,2025-11-25,1
O0044,C010,P194,2025-12-21,1
O0045,C010,P089,2026-04-28,3
O0046,C010,P123,2026-06-27,1
O0047,C011,P095,2025-09-29,1
O0048,C011,P149,2025-11-30,3
O0049,C011,P009,2026-04-26,1
O0050,C012,P191,2025-08-14,1
O0051,C012,P001,2025-10-08,1
O0052,C012,P058,2026-01-11,1
O0053,C012,P085,2026-05-21,1
O0054,C012,P096,2026-06-23,1
O0055,C012,P149,2026-07-15,2
O0056,C013,P004,2025-09-25,3
O0057,C013,P136,2025-11-06,1
O0058,C013,P144,2025-12-09,1
O0059,C013,P165,2025-12-12,1
O0060,C013,P081,2026-03-22,1
O0061,C013,P119,2026-05-23,1
O0062,C013,P067,2026-06-10,1
O0063,C013,P132,2026-07-19,1
O0064,C014,P142,2025-08-09,1
O0065,C014,P168,2025-09-12,1
O0066,C014,P187,2025-10-21,1
O0067,C014,P055,2025-10-31,1
O0068,C014,P039,2026-07-08,1
O0069,C015,P181,2025-08-09,1
O0070,C015,P171,2025-12-06,1
O0071,C015,P066,2026-03-15,1
O0072,C016,P099,2025-08-19,2
O0073,C016,P062,2025-10-03,1
O0074,C016,P194,2025-10-15,1
O0075,C017,P078,2025-10-06,1
O0076,C017,P158,2026-01-03,1
O0077,C017,P176,2026-01-27,1
O0078,C017,P121,2026-02-24,1
O0079,C017,P194,2026-04-11,1
O0080,C017,P149,2026-05-28,1
O0081,C017,P072,2026-05-31,1
O0082,C017,P073,2026-07-04,1
O0083,C018,P155,2025-08-16,1
O0084,C018,P016,2025-08-24,1
O0085,C018,P110,2026-04-15,1
O0086,C018,P068,2026-05-25,1
O0087,C018,P183,2026-06-29,1
O0088,C019,P019,2025-09-27,1
O0089,C019,P124,2026-02-28,1
O0090,C020,P140,2025-11-30,1
O0091,C020,P033,2026-01-06,1
O0092,C020,P074,2026-03-01,1
O0093,C020,P107,2026-07-18,1
O0094,C021,P008,2025-07-19,1
O0095,C021,P157,2025-10-26,2
O0096,C021,P141,2026-02-19,1
O0097,C021,P021,2026-06-30,1
O0098,C022,P099,2025-11-06,2
O0099,C022,P048,2025-12-23,1
O0100,C022,P101,2026-05-28,1
O0101,C022,P139,2026-06-11,1
O0102,C023,P103,2025-09-01,1
O0103,C023,P061,2025-11-09,1
O0104,C023,P068,2026-01-19,1
O0105,C023,P087,2026-04-03,1
O0106,C023,P074,2026-05-30,1
O0107,C023,P040,2026-07-06,1
O0108,C024,P184,2025-07-28,1
O0109,C024,P171,2025-08-19,1
