review_id,purchase_id,customer_id,product_id,rating,content,written_at
R0001,O0001,C001,P131,3,기대가 컸나 봐요. 건성인데 자극 없이 잘 썼어요.,2025-12-26
R0002,O0002,C001,P106,4,고민하다 샀는데 잘 산 것 같아요. 겉돌던 게 없어졌다는 게 느껴져요.,2026-07-09
R0003,O0003,C002,P095,5,고민하다 샀는데 잘 산 것 같아요. 향이 세지 않아서 좋아요.,2025-08-07
R0004,O0004,C002,P058,5,친구가 좋다고 해서 샀는데 만족해요. 건성인데 자극 없이 잘 썼어요.,2025-10-29
R0005,O0005,C002,P038,5,친구가 좋다고 해서 샀는데 만족해요. 눈가가 덜 접힌다는 게 느껴져요.,2026-01-19
R0006,O0006,C003,P196,2,환불 고민 중입니다. 생각보다 끈적여서 아침엔 못 쓰겠어요.,2025-09-26
R0007,O0007,C003,P040,5,친구가 좋다고 해서 샀는데 만족해요. 겉돌던 게 없어졌다는 게 느껴져요.,2025-10-24
R0008,O0008,C003,P058,5,고민하다 샀는데 잘 산 것 같아요. 향이 세지 않아서 좋아요.,2026-03-10
R0009,O0009,C003,P068,5,샘플 써보고 본품 구매했어요. 탱탱한 느낌이 오래간다는 게 느껴져요.,2026-05-30
R0010,O0010,C004,P179,5,재구매입니다. 결이 정돈된 느낌이 든다는 게 느껴져요. 천안 사는 권보민입니다. 배송 빨랐어요.,2025-07-20
R0011,O0011,C004,P166,5,재구매입니다. 녹차 들어간 거 찾다가 샀는데 만족합니다. 샘플 문의는 bomin54@example.com 로 주세요.,2025-07-20
R0012,O0012,C004,P184,2,광고를 너무 믿었나 봐요. 중성이라 그런지 발랐더니 조금 따가웠어요.,2025-08-15
R0013,O0013,C004,P133,3,기대가 컸나 봐요. 중성인데 자극 없이 잘 썼어요. 천안 일산동 사는데 근처 매장에도 있더라고요.,2025-08-28
R0014,O0014,C004,P045,4,고민하다 샀는데 잘 산 것 같아요. 비타민C 들어간 거 찾다가 샀는데 만족합니다.,2025-09-30
R0015,O0015,C004,P035,4,고민하다 샀는데 잘 산 것 같아요. 촉촉하게 감싸는 제형이라 아침에 쓰기 좋아요. 저는 권보민인데 벌써 세 번째 재구매예요.,2026-01-02
R0016,O0016,C004,P090,3,가격 생각하면 이 정도는 하는 것 같아요. 중성인데 자극 없이 잘 썼어요. 궁금하신 분은 010-7600-2955으로 문자주세요.,2026-01-05
R0017,O0017,C004,P071,5,친구가 좋다고 해서 샀는데 만족해요. 가볍게 스미는 제형이라 아침에 쓰기 좋아요. 천안 사는 권보민입니다. 배송 빨랐어요.,2026-02-18
R0018,O0018,C005,P032,3,기대가 컸나 봐요. 산뜻한 제형이라 아침에 쓰기 좋아요. 재고 문의는 010 8202 9049 로 부탁드려요.,2025-07-17
R0019,O0019,C005,P175,2,광고를 너무 믿었나 봐요. 향이 저한테는 좀 강했어요.,2025-09-21
R0020,O0020,C005,P139,1,광고를 너무 믿었나 봐요. 중성이라 그런지 발랐더니 조금 따가웠어요. 재고 문의는 010 8202 9049 로 부탁드려요.,2026-01-04
R0021,O0021,C005,P123,5,"친구가 좋다고 해서 샀는데 만족해요. 녹차 들어간 거 찾다가 샀는데 만족합니다. 이은수이라고 하고요, 매장 직원분이 친절했어요.",2026-07-02
R0022,O0022,C005,P141,5,샘플 써보고 본품 구매했어요. 중성인데 자극 없이 잘 썼어요.,2026-07-24
R0023,O0023,C006,P183,2,다음엔 다른 거 살 것 같아요. 용량 대비 가격이 아쉬워요. 이다은님이 추천해줘서 샀어요.,2025-07-10
R0024,O0024,C006,P048,3,기대가 컸나 봐요. 눈가가 덜 접힌다는 게 느껴져요.,2025-08-16
R0025,O0025,C006,P064,4,재구매입니다. 중성인데 자극 없이 잘 썼어요. 광주 사는 이혜원입니다. 배송 빨랐어요.,2025-09-28
R0026,O0026,C006,P144,4,재구매입니다. 탱탱한 느낌이 오래간다는 게 느껴져요.,2025-10-17
R0027,O0027,C006,P051,5,재구매입니다. 향이 세지 않아서 좋아요.,2025-11-02
R0028,O0028,C006,P197,5,샘플 써보고 본품 구매했어요. 눈가가 덜 접힌다는 게 느껴져요.,2025-12-22
R0029,O0029,C006,P141,5,샘플 써보고 본품 구매했어요. 향이 세지 않아서 좋아요. 샘플 문의는 hyewon2@example.com 로 주세요.,2026-01-04
R0030,O0030,C006,P061,5,"재구매입니다. 산뜻한 제형이라 아침에 쓰기 좋아요. 이혜원이라고 하고요, 매장 직원분이 친절했어요.",2026-06-26
R0031,O0031,C007,P157,3,무난해요. 향이 세지 않아서 좋아요.,2025-09-16
R0032,O0032,C007,P057,4,두 통째 쓰는 중이에요. 향이 세지 않아서 좋아요.,2025-11-29
R0033,O0033,C007,P149,5,두 통째 쓰는 중이에요. 촉촉하게 감싸는 제형이라 아침에 쓰기 좋아요.,2026-05-29
